ID	adj.P.Val	P.Value	logFC	Gene.symbol	Gene.title
1426856_at	0.000133	7.91e-09	-6.37949	Hsdl2	hydroxysteroid dehydrogenase like 2
1435494_s_at	0.000133	8.44e-09	-7.42743	Dsp	desmoplakin
1420408_a_at	0.000133	8.85e-09	-6.18075667	Abcc9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9
1444083_at	0.000133	1.50e-08	-6.21271	Ttn	titin
1418951_at	0.000133	2.07e-08	-6.38823667	Txlnb	taxilin beta
1427446_s_at	0.000133	2.68e-08	-5.31971	Ttn	titin
1417626_at	0.000133	3.10e-08	-5.03982667	Pde4dip	phosphodiesterase 4D interacting protein (myomegalin)
1450952_at	0.000133	3.40e-08	-6.09245	Pln	phospholamban
1428433_at	0.000133	3.45e-08	-6.04991	Hipk2	homeodomain interacting protein kinase 2
1435370_a_at	0.000133	3.47e-08	-5.25516333	Ces1d	carboxylesterase 1D
1417382_at	0.000133	3.68e-08	-5.38672	Entpd5	ectonucleoside triphosphate diphosphohydrolase 5
1424942_a_at	0.000133	3.69e-08	5.01374333	Myc	myelocytomatosis oncogene
1439830_at	0.000133	3.93e-08	-5.35204667	Map3k5	mitogen-activated protein kinase kinase kinase 5
1451801_at	0.000133	4.13e-08	-5.242	Trdn	triadin
1448554_s_at	0.000138	4.58e-08	-5.78201333	Myh7///Myh6	myosin, heavy polypeptide 7, cardiac muscle, beta///myosin, heavy polypeptide 6, cardiac muscle, alpha
1426615_s_at	0.00014	5.30e-08	-5.86587667	Ndrg4	N-myc downstream regulated gene 4
1448486_at	0.00014	5.40e-08	-5.38121333	Mut	methylmalonyl-Coenzyme A mutase
1435504_at	0.00014	5.59e-08	-4.44226667	Clip4	CAP-GLY domain containing linker protein family, member 4
1448228_at	0.000149	6.77e-08	5.93128333	Lox	lysyl oxidase
1420513_at	0.000149	6.78e-08	-5.23375333	Efcab2	EF-hand calcium binding domain 2
1452345_at	0.000149	7.02e-08	-6.26165333	Lmod2	leiomodin 2 (cardiac)
1415927_at	0.000149	7.31e-08	-6.81281667	Actc1	actin, alpha, cardiac muscle 1
